trusted,category
tem 7 meses q uso cartao e o limite nunca aumentapedi para fazer pagamentos antecipadodificil demaistem que melhorar isso,Limite de crédito
fiz um deposito na minha conta mas nao aparece meu saldo em lugar nenhum precisa ter essa opcao quero saber meu saldo,Depósito demora
simplesmente um lixo,Comentário detrator sem informação
ajuste de valor r 60000 nao depositarei mais nenhum centavo nessa conta a menos que a empresa venha se tratar nao so comigo mas com varios clientes que assim como eu foram prejudicados financeiramente ainda mais no estado de emergencia de saude publica em decorrencia do covid19 ao qual estamos todos enfrentando sinto pelos que contavam com esse dinheiro para poder alimentar suas criancas lamentavel nubank,Outro
nao consigo acessar minha conta o suporte nao me ajuda,Problema de acesso
baixa capacidade de resolver problemas serios pelo desandar do atendimento sera que terei que judicializar e me expor em publico para pagar a fatura de uma pessoa que esta internada em coma e isso que essa empresa propoe nunca senti tanta desumanidade era so acatar um pedido muito simples feito no chat do app,Comentário detrator sem informação
otimo,Elogio
muito ruim o app deveria ser mais autoexplicativo,Comentário detrator sem informação
depois da ultima atualizacao fica deslogando direto e ficou impossivel autorizar o aparelho,Aplicativo não funcional
nao esta dando para liberar o acesso para o computador o app nao consegue ler o qr code,Problema de acesso
eu tinha 1 valor de r 300 na minha conta da nubank e hoje quando eu entrei na minha conta tava zerada e tava escrito que foi feito um ajuste no valor total do meu saldo e me enviaram um email falando que eu paguei um boleto de deposito e o valor que foi depositado na minha conta foi acima do valor do boleto e o banco emissor pediu para estornar esse valor mas eles nao me deram satisfacao nenhuma de que banco e esse e que dia que foi isso nao aconteceu e nao tenho um retorno da nubank,Outro
ao enviar o codigo para o email o codigo nao chega,Problema com código no e-mail
uma ves eu fis uma conta e nao chego no endereco o cartao e nem sei aonde foi para esse cartao e queria credto me dero debtor porisso cancelei meu nubank ate me darem um credto,Cartão não chegou
e bom,Elogio
ola queria sabe pq meu dinheiro ainda nao caiu na minha conta,Dúvida
gosto muito da nubank mas bem que poderia ter a opcao de trazer o dinheiro do caixatem,Sugestão de funcionalidade
nao estou conseguindo sacar meu dinheiro no caixa 24 horas,Outro
contra curiosos que possuem acesso ao celular falta uma senha na abertura do appexiste uma gambiarra que eh usar o bloqueio do proprio aparelho mas eh ridiculo todos os outros bancos possuem esta funcionalidade excelente de senha para protecao contra curiosos sem precisar lhe constranger ao deixar o celular na mao de um filho falta tambem outras opcoes de menu para acompanhamento das transacoes como um relatorio tradicional de conta corrente opcao de incluir data de vencimento em boleto,Sugestão de funcionalidade
pessimo,Comentário detrator sem informação
a camera do aplicativo nao esta focando na hora de tirar a foto do documento,Foto do documento
o cartao nubank e muito bom pra mim o melhor que tem mas deixa muito a desejar sobre o limite o meu foi 400 reais e depois de 9 mes venho aumentar so 50 reais e tem muita gente que de limite so tem 50 reais pra quer vao da 50 reias de limite isso faz ate vergonha fora isso e so elogios o nubalk e muito bom e muito facil de usa mas sobre limite deixa a desejar,Limite de crédito
nao consigo tirar a foto do documento o app ele tira o foco da camera se eu utilizar so a camera sem o app ela funciona normalmente,Foto do documento
lancem uma atualizacao para poder ter um dependente sou menor de idade e nao tem essa opcao vcs nao me enviaram o email do codigo,Problema com código no e-mail
o app nao tem a opcao de fazer o login meu amigos programador vamos resolver isso sempre que a gente entra tem que fazer tudo de novo pelo amor de deus se vc nao sabe faer isso perco que me contrate eu sou analista de sistema ou fala para o cara do ti ser conversa com essa empresa espero que resolvam isso logo,Sugestão de funcionalidade
nao consigo utilizar o cartao nubank nem o cartao virtual ate a transferencia nao esta funcionando,Aplicativo não funcional
tem que ficar atualizando toda semana daqui apouco vai ocupar toda memoria di celular so cm esse app,Aplicativo não funcional
ahora la app no me quiere recibir las fotos primero me las acepto dejo que hiciera un deposito mas ahora me dice que las fotos estan erradas,Outro
vou dar so 2 estrelas pela demora ao deposito que fiz se eu precisasse do dinheiro com urgencia eu tava lascado uma semana pra voces depositarem na conta acho isso muito errado com muita demora e reclamacoes caiu o dinheiro,Depósito demora
depois da ultima atualizacao do dia 20 de junho o app virou um lixo da mensagens de erro o tempo todo travando o celular mesmo sem estar em uso ja enviei centenas de notificacoes pela propria notificacao de erro e nao obtive resposta nao deixa a gente fazer nada no celular,Aplicativo não funcional
horrivel estou a meses tentando abrir uma conta ficam de enviar um codigo para o meu email esse codigo nunca chega isso pq nem pedi o cartao de credito apenas para deixar meu dinheiro na poupanca,Problema com código no e-mail
apos efetuar meu primeiro deposito me informam que a conta estava bloqueada ja fiquei com o pe atras agora que o deposito caiu na conta esta sendo um luta pra tranferir pois nao conclui e fica dizendo tivemos um prolema com a sua conexao app simples porem fraco se ja comecei tendo esses problemas nao vou arriscar mais,Bloqueio de conta
nao respondem no chat pessimo,Comentário detrator sem informação
apos a ultima atualizacao o app nao abre podem ajudar,Problema de acesso
pessimo,Comentário detrator sem informação
o codigo nao chega no meu email ja tentei dois emails diferentes,Problema com código no e-mail
ele nao me deu o credito,Difícil conseguir crédito
nao aparece a opcao ativar cartao debito,Sugestão de funcionalidade
n consigo entrar no app pedem um codigo q dizem enviar pro meu email porem esse codigo nunca chega e sem o codigo n consigo abrir uma conta,Problema com código no e-mail
estou dando tres estrelas porque estou tendo problemas eu paguei dois boletos em minha conta do banco do brasil mas so cairam os pagos na caixa economica federal ambos na sexta passada e sobre as transferencias tipo eu precisei transferir para minha tia o valor das despesas do meu apartamento mas nao tem a opcao de digito com letra so numerico vai que eu mande pra conta errada por favor ajeitem isso,Depósito demora
nao estou conseguindo terminar meu cadastrodiz que o cpf ou senha esta invalida,Problema no cadastro
falta opcao de colocar saldo atraves de cartao de debito isso facilitaria muito na hora de depositar dinheiro na nuconta tambem falta opcao de dividir pagamentos por boleto outras contas digitais ja tem isso e estao deixando o uso da nuconta ociosos,Sugestão de funcionalidade
nao estou conseguindo acessar o app,Problema de acesso
nao consigo recuperar minha conta porque o codigo nunca chega no email cadastrado fui assaltado e nao tenho rg pra mandar a foto pra autorizar outro email pessima assistencia nao tem nem botao ajuda no app,Problema com código no e-mail
o que esta acontecendo com o app nao consigo fazer nada ele abre e 2 s fecha queria pegar o codigo de barras para pagamento da fatura e utilizar o meu cartao virtual e nao consigo resolvam isso por favor,Aplicativo não funcional
o que esta acontecendo com o banco fiz dois teds agora cedo e ate agora ainda nao caiu na minha conta tento falar com o suporte mas nao me respondem,Depósito demora
parcelei uma conta de 17700 de 3 vezes igual a 5900 reais na segunda conta nao aparece os 5900 reais esta aparecendo 12100 pra mim gerar o boleto e eu nao vou fazer isso pois nao ta certo,Outro
scaneamento de codigos de barra nao esta funcionando agora esta pedindo para fazer autorizacao do aparelho sendo que ja estava sendo utilizado a tempos mesmo realizando todo o precedimento solicitado continua com o mesmo problema informando que preciso autorizar o aparelho e quando vc liga para o suporte derrubam as ligacoes nem vou perder mais tempo vou cancelar a conta e pronto,Aplicativo não funcional
criei uma conta ate ai tudo certo fiz um deposito e no mesmo dio que caiu o dinheiro eu nao conseguir mais movimentar a conta a nubank excluiu minha conta e sumiu com meu dinheiro estou a 1 semana tentando entrar em contato e nao tenho resposta alguma,Bloqueio de conta
vcs tem cartao de credito e debito do nubank,Outro
ta uma droga nao consigo pagar boleto nao consigo fazer transferencia pra outro banco o chat nao me da respostas e ligo pra fala com atendente me desligam na cara,Aplicativo não funcional
tranferir um dinheiro sexta feira a noite e ate agora nada do dinheiro cai na conta estranho nao dona nubank,Depósito demora
nao consigo acessar minha conta pois o aplicativo pede que eu me lembre de uma senha de 2015 ou do numero do meu celular de 2015,Problema de acesso
ruim,Comentário detrator sem informação
nao consigo visuakizar o boleto no aplicativo para envialo,Outro
ola paguei um boleto de 30 reais e ainda nao caiu na conta ja faz 3 dias e nada,Depósito demora
meu limite nao aumenta nunca atrasei os pagamentos acho isso lamentavel tenho digio e santander free e os dois aumentaram meu limite mas o nubank nada mais de um ano como cliente muito decepcionado,Limite de crédito
vai levar 2 estrelas pq nao me dao cartao de credito,Difícil conseguir crédito
ate agora nao recebi meu cartao de credito estou chateada,Cartão não chegou
falta a opcao gerenciar boletos,Sugestão de funcionalidade
ruim,Comentário detrator sem informação
ja tentei pedir meu cartao 4 vezes e ate hj espero resposta e nem o cartao chegou,Cartão não chegou
preciso enviar uma foto do meu rg e mandar para criar a conta porem a camera do app nao foca entao nao tem como ficar visivel a foto e as informacoes do rg ja testei a focagem da minha camera no app de camera original do aparelho e foca normal so no app da nubank que nao foca fica tudo embacado por isso nao tem como criar minha conta,Foto do documento
bom,Elogio
